Year,State,type,production,Avg,Measures,Materials,Chemical,Value
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(GLYPHOSATE AMM. SALT = 103604),HERBICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(GLYPHOSATE ISO. SALT = 103601),HERBICIDE,"7,500"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(GLYPHOSATE POT. SALT = 103613),HERBICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(ORYZALIN = 104201),HERBICIDE,"4,000"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(OXYFLUORFEN = 111601),HERBICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(PARAQUAT = 61601),HERBICIDE,"2,500"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(PENOXSULAM = 119031),HERBICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(SIMAZINE = 80807),HERBICIDE,"3,900"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(TOTAL),HERBICIDE,"29,800"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(ACEPHATE = 103301),INSECTICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(ACETAMIPRID = 99050),INSECTICIDE,200
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(BIFENTHRIN = 128825),INSECTICIDE,700
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329),INSECTICIDE,(NA)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(DIAZINON = 57801),INSECTICIDE,"2,900"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(ESFENVALERATE = 109303),INSECTICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(FLUPYRADIFURONE = 122304),INSECTICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(IMIDACLOPRID = 129099),INSECTICIDE,900
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(MALATHION = 57701),INSECTICIDE,"9,800"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(METHOMYL = 90301),INSECTICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(PERMETHRIN = 109701),INSECTICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(PHOSMET = 59201),INSECTICIDE,"4,000"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(SPINETORAM = 110007),INSECTICIDE,200
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(SPINOSAD = 110003),INSECTICIDE,100
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(THIAMETHOXAM = 60109),INSECTICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(TOTAL),INSECTICIDE,"19,300"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(ZETA-CYPERMETHRIN = 129064),INSECTICIDE,300
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(ALKYL. DIM. BENZ. AM = 69105),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(CUPRAMMONIUM ACETATE = 36011),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(CYANAMID = 14002),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(CYTOKININS = 116801),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(DECYLDIMETHYLOCTYL = 69165),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(DIDECYL DIM. AMMON. = 69166),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(DIMETHYLDIOCTYL = 69149),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(GIBBERELLIC ACID = 43801),OTHER,500
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(INDAZIFLAM = 80818),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(INDOLEBUTYRIC ACID = 46701),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(MINERAL OIL = 63502),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(REYNOUTRIA SACHALINE = 55809),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB,(TOTAL),OTHER,"3,700"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB, ,(NITROGEN) FERTILIZER,"667,000"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB, ,(PHOSPHATE) FERTILIZER,"567,000"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB, ,(POTASH) FERTILIZER,"612,000"
2019,GEORGIA,BEARING,APPLICATIONS, ,MEASURED IN LB, ,(SULFUR) FERTILIZER,"125,000"
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(AZOXYSTROBIN = 128810),FUNGICIDE,0.192
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482),FUNGICIDE,(NA)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(BACILLUS SUBTILIS = 6479),FUNGICIDE,(NA)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(BORAX DECAHYDRATE = 11102),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(BOSCALID = 128008),FUNGICIDE,0.286
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(CALCIUM POLYSULFIDE = 76702),FUNGICIDE,4.097
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(CAPTAN = 81301),FUNGICIDE,1.685
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(CHLOROTHALONIL = 81901),FUNGICIDE,2.476
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(COPPER CHLORIDE HYD. = 23501),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(COPPER HYDROXIDE = 23401),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(COPPER SULFATE = 24401),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(CYPRODINIL = 288202),FUNGICIDE,0.28
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(DIFENOCONAZOLE = 128847),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(FENBUCONAZOLE = 129011),FUNGICIDE,0.089
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(FENHEXAMID = 90209),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(FLUDIOXONIL = 71503),FUNGICIDE,0.189
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(MEFENOXAM = 113502),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(METCONAZOLE = 125619),FUNGICIDE,0.086
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(MONO-POTASSIUM SALT = 76416),FUNGICIDE,1.554
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(MYCLOBUTANIL = 128857),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(POLYOXIN D ZINC SALT = 230000),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(PROPICONAZOLE = 122101),FUNGICIDE,0.151
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(PROTHIOCONAZOLE = 113961),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(PYRACLOSTROBIN = 99100),FUNGICIDE,0.145
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(SULFUR = 77501),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(TEBUCONAZOLE = 128997),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(TRICHODERMA HARZ. = 119202),FUNGICIDE,(NA)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,"(2,4-D",HERBICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(AMMONIUM PELARGONATE = 31802),HERBICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(CLETHODIM = 121011),HERBICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(CLORANSULAM-METHYL = 129116),HERBICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(DIURON = 35505),HERBICIDE,1.047
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(FLUMIOXAZIN = 129034),HERBICIDE,0.138
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(GLUFOSINATE-AMMONIUM = 128850),HERBICIDE,0.658
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(GLYPHOSATE = 417300),HERBICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(GLYPHOSATE AMM. SALT = 103604),HERBICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(GLYPHOSATE ISO. SALT = 103601),HERBICIDE,1.217
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(GLYPHOSATE POT. SALT = 103613),HERBICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(ORYZALIN = 104201),HERBICIDE,1.676
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(OXYFLUORFEN = 111601),HERBICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(PARAQUAT = 61601),HERBICIDE,0.467
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(PENOXSULAM = 119031),HERBICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(SIMAZINE = 80807),HERBICIDE,1.957
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(ACEPHATE = 103301),INSECTICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(ACETAMIPRID = 99050),INSECTICIDE,0.088
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(BIFENTHRIN = 128825),INSECTICIDE,0.093
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329),INSECTICIDE,(NA)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(DIAZINON = 57801),INSECTICIDE,0.461
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(ESFENVALERATE = 109303),INSECTICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(FLUPYRADIFURONE = 122304),INSECTICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(IMIDACLOPRID = 129099),INSECTICIDE,0.122
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(MALATHION = 57701),INSECTICIDE,0.718
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(METHOMYL = 90301),INSECTICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(PERMETHRIN = 109701),INSECTICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(PHOSMET = 59201),INSECTICIDE,0.819
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(SPINETORAM = 110007),INSECTICIDE,0.058
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(SPINOSAD = 110003),INSECTICIDE,0.078
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(THIAMETHOXAM = 60109),INSECTICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(ZETA-CYPERMETHRIN = 129064),INSECTICIDE,0.025
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(ALKYL. DIM. BENZ. AM = 69105),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(CUPRAMMONIUM ACETATE = 36011),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(CYANAMID = 14002),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(CYTOKININS = 116801),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(DECYLDIMETHYLOCTYL = 69165),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(DIDECYL DIM. AMMON. = 69166),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(DIMETHYLDIOCTYL = 69149),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(GIBBERELLIC ACID = 43801),OTHER,0.402
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(INDAZIFLAM = 80818),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(INDOLEBUTYRIC ACID = 46701),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(MINERAL OIL = 63502),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION,(REYNOUTRIA SACHALINE = 55809),OTHER,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION, ,(NITROGEN) FERTILIZER,8
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION, ,(PHOSPHATE) FERTILIZER,7
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION, ,(POTASH) FERTILIZER,7
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / APPLICATION, ,(SULFUR) FERTILIZER,19
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(AZOXYSTROBIN = 128810),FUNGICIDE,0.385
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482),FUNGICIDE,(NA)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(BACILLUS SUBTILIS = 6479),FUNGICIDE,(NA)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(BORAX DECAHYDRATE = 11102),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(BOSCALID = 128008),FUNGICIDE,0.447
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(CALCIUM POLYSULFIDE = 76702),FUNGICIDE,4.319
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(CAPTAN = 81301),FUNGICIDE,4.625
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(CHLOROTHALONIL = 81901),FUNGICIDE,2.615
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(COPPER CHLORIDE HYD. = 23501),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(COPPER HYDROXIDE = 23401),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(COPPER SULFATE = 24401),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(CYPRODINIL = 288202),FUNGICIDE,0.621
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(DIFENOCONAZOLE = 128847),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(FENBUCONAZOLE = 129011),FUNGICIDE,0.133
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(FENHEXAMID = 90209),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(FLUDIOXONIL = 71503),FUNGICIDE,0.392
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(MEFENOXAM = 113502),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(METCONAZOLE = 125619),FUNGICIDE,0.136
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(MONO-POTASSIUM SALT = 76416),FUNGICIDE,4.967
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(MYCLOBUTANIL = 128857),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(POLYOXIN D ZINC SALT = 230000),FUNGICIDE,(D)
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(PROPICONAZOLE = 122101),FUNGICIDE,0.237
2019,GEORGIA,BEARING,APPLICATIONS, AVG,MEASURED IN LB / ACRE / YEAR,(PROTHIOCONAZOLE = 113961),FUNGICIDE,(D)
